Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Colston Loveland","Te","CHI","1.3","100","No","No","Yes","6890","2025 Core","Active","2026-12-12"
"Ollie Gordon II","Rb","MIA","1.4","67","No","No","Yes","6300","2025 Core","Active","2026-12-12"
"Rashod Bateman","Wr","BAL","1.5","62","No","No","Yes","5850","2025 Core","Active","2026-12-12"
"Colston Loveland","Te","CHI","1","77","No","No","Yes","5300","2025 Core","Active","2026-12-12"
"Bijan Robinson","Rb","ATL","1.5","147","No","No","No","11550","2025 Core","Active","2027-01-25"
"Brian Thomas Jr.","Wr","JAX","1.2","98","No","No","No","6600","2025 Core","Active","2027-01-25"
"Alec Pierce","Wr","IND","1.1","66","No","No","No","6270","2025 Core","Active","2027-01-25"
"Tetairoa McMillan","Wr","CAR","1.4","108","No","No","No","8540","2025 Core","Active","2027-01-25"
"DeVonta Smith","Wr","PHI","1.3","104","No","No","Yes","8580","2025 Core","Active","2026-12-13"
"Juwan Johnson","Te","NO","1.3","79","No","No","Yes","4810","2025 Core","Active","2026-12-14"
"Tyler Warren","Te","IND","1.5","124","No","No","Yes","7350","2025 Core","Active","2026-12-14"
"Quentin Johnston","Wr","LAC","1.5","68","No","No","Yes","7050","2025 Core","Active","2026-12-14"
"Jaxson Dart","Qb","NYG","1.2","84","No","No","Yes","6720","2025 Core","Active","2026-12-14"
"Wan'Dale Robinson","Wr","TEN","1.5","93","No","No","Yes","7200","2025 Core","Active","2026-12-14"
"Isaiah Likely","Te","NYG","1.2","49","No","No","Yes","5160","Primetime-TE","Active","2026-12-16"
"Jonathan Taylor","Rb","IND","1.4","130","No","No","Yes","10220","Primetime-RB","Active","2026-12-16"
"Lamar Jackson","Qb","BAL","1.5","140","No","No","Yes","10200","Primetime-All","Active","2026-12-16"
"Tee Higgins","Wr","CIN","1.3","108","No","No","Yes","8190","2025 Core","Active","2026-12-19"
"C.J. Stroud","Qb","HOU","1.5","99","No","No","Yes","7800","2025 Core","Active","2026-12-21"
"Jaxon Smith-Njigba","Wr","SEA","1.4","140","No","No","Yes","10640","2025 Core","Active","2026-12-21"
"Jaylen Waddle","Wr","DEN","1.4","99","No","No","Yes","8820","2025 Core","Active","2026-12-21"
"RJ Harvey","Rb","DEN","1.5","98","No","No","Yes","8100","2025 Core","Active","2026-12-21"
"Jameson Williams","Wr","DET","1.3","99","No","No","Yes","7800","2025 Core","Active","2026-12-21"
"Travis Kelce","Te","KC","1.3","103","No","No","Yes","5200","2025 Core","Active","2026-12-21"
"Aaron Rodgers","Qb","PIT","1.5","82","No","No","Yes","7950","2025 Core","Active","2026-12-21"
"Michael Wilson","Wr","ARI","1.5","92","No","No","Yes","7950","2025 Core","Active","2026-12-21"
"Christian McCaffrey","Rb","SF","1.5","148","No","No","Yes","11250","2025 Core","Active","2026-12-21"
"Baker Mayfield","Qb","TB","1.5","124","No","No","Yes","8850","2025 Core","Active","2026-12-21"
"Rico Dowdle","Rb","PIT","1.5","76","No","No","Yes","7800","2025 Core","Active","2026-12-21"
"Trevor Lawrence","Qb","JAX","1.3","103","No","No","Yes","7540","2025 Core","Active","2026-12-21"
"Dalton Kincaid","Te","BUF","1","64","No","No","Yes","4600","2025 Core","Active","2026-12-21"
"Jaylen Warren","Rb","PIT","1.4","101","No","No","Yes","7560","2025 Core","Active","2027-02-08"
"Emeka Egbuka","Wr","TB","1.5","105","No","No","Yes","9300","2025 Core","Active","2027-02-08"
